,nome,filtro,minucias,nfiq,nfiq2
0,s0377_04[TRUC].png.min,Trunc,138,2,49
1,s0263_05.png.min,No Filter,129,3,28
2,f0379_06[TRUC].png.min,Trunc,29,3,7
3,f0398_03[BINV].png.min,Binary Invert,45,2,45
4,s0477_04[BINA].png.min,Binary,88,5,15
5,f0372_07[TRUC].png.min,Trunc,86,3,36
6,s0374_04[BINV].png.min,Binary Invert,42,4,20
7,s0486_10[TRUC].png.min,Trunc,107,4,19
8,f0450_10[BINV].png.min,Binary Invert,131,3,24
9,f0425_07[TZER].png.min,Thresh to Zero,84,3,43
10,f0310_05[TOZI].png.min,Thresh to Zero Invert,178,1,46
11,s0401_08.png.min,No Filter,137,4,7
12,f0459_05[BINV].png.min,Binary Invert,21,3,35
13,s0481_07[TZER].png.min,Thresh to Zero,55,3,38
14,s0319_06[TRUC].png.min,Trunc,91,2,38
15,s0362_05[BINA].png.min,Binary,35,1,52
16,f0394_07[BINA].png.min,Binary,77,2,45
17,f0426_04[TOZI].png.min,Thresh to Zero Invert,136,1,45
18,f0409_05.png.min,No Filter,193,4,33
19,f0392_07[TOZI].png.min,Thresh to Zero Invert,255,3,26
20,s0468_02.png.min,No Filter,129,3,36
21,s0301_02.png.min,No Filter,140,2,37
22,s0354_05[TZER].png.min,Thresh to Zero,186,5,17
23,s0437_04[TZER].png.min,Thresh to Zero,122,2,38
24,f0323_09.png.min,No Filter,115,1,47
25,s0354_05[BINA].png.min,Binary,164,2,46
26,s0275_02[BINA].png.min,Binary,36,3,38
27,f0314_04[TOZI].png.min,Thresh to Zero Invert,186,2,51
28,s0435_10[TOZI].png.min,Thresh to Zero Invert,168,2,49
29,f0317_05[BINA].png.min,Binary,76,3,49
30,s0268_09[TRUC].png.min,Trunc,144,1,54
31,f0270_01[BINV].png.min,Binary Invert,50,5,4
32,s0267_07.png.min,No Filter,107,5,18
33,f0413_01[BINV].png.min,Binary Invert,64,1,43
34,s0418_02[BINV].png.min,Binary Invert,104,3,48
35,f0481_07.png.min,No Filter,137,3,35
36,f0453_08[TOZI].png.min,Thresh to Zero Invert,228,2,55
37,f0437_04[TRUC].png.min,Trunc,146,3,46
38,f0288_01[BINV].png.min,Binary Invert,56,4,11
39,f0287_07[BINV].png.min,Binary Invert,153,1,50
40,f0488_10[TZER].png.min,Thresh to Zero,91,3,21
41,f0424_03[TOZI].png.min,Thresh to Zero Invert,138,2,34
42,f0458_07[BINV].png.min,Binary Invert,90,2,50
43,s0466_10[BINA].png.min,Binary,34,3,22
44,f0300_08.png.min,No Filter,171,2,19
45,s0485_06[TOZI].png.min,Thresh to Zero Invert,354,5,10
46,s0313_08.png.min,No Filter,157,3,18
47,s0261_01.png.min,No Filter,128,1,17
48,s0483_01.png.min,No Filter,69,1,44
49,s0285_08[BINA].png.min,Binary,32,4,18
50,s0309_05[TRUC].png.min,Trunc,88,2,22
51,f0445_01[BINA].png.min,Binary,38,2,33
52,f0423_02[BINV].png.min,Binary Invert,83,1,49
53,s0312_08[TRUC].png.min,Trunc,86,3,9
54,f0326_07[TZER].png.min,Thresh to Zero,121,4,38
55,s0328_09[BINV].png.min,Binary Invert,27,3,34
56,s0278_03.png.min,No Filter,173,2,13
57,f0304_08.png.min,No Filter,125,2,40
58,s0277_05[BINA].png.min,Binary,132,3,47
59,f0447_01[TOZI].png.min,Thresh to Zero Invert,318,3,22
60,s0291_03[TOZI].png.min,Thresh to Zero Invert,198,2,29
61,s0270_01.png.min,No Filter,220,2,31
62,f0395_08[BINV].png.min,Binary Invert,130,2,53
63,f0293_01.png.min,No Filter,142,2,48
64,f0424_03[TZER].png.min,Thresh to Zero,7,3,39
65,f0345_05.png.min,No Filter,176,1,51
66,s0330_08[TZER].png.min,Thresh to Zero,189,4,22
67,f0305_01[TRUC].png.min,Trunc,121,3,6
68,f0267_07[TRUC].png.min,Trunc,105,4,18
69,f0254_08[TZER].png.min,Thresh to Zero,132,5,1
70,f0435_10[BINA].png.min,Binary,34,3,25
71,f0400_02[BINV].png.min,Binary Invert,23,2,35
72,f0311_03.png.min,No Filter,90,2,37
73,f0492_02.png.min,No Filter,106,3,55
74,s0500_02[BINV].png.min,Binary Invert,98,5,11
75,s0460_04[TOZI].png.min,Thresh to Zero Invert,315,3,43
76,s0331_05[TRUC].png.min,Trunc,132,3,24
77,s0334_02[TOZI].png.min,Thresh to Zero Invert,320,1,50
78,f0367_08.png.min,No Filter,97,3,30
79,f0409_05[TRUC].png.min,Trunc,83,3,35
80,s0402_01[TRUC].png.min,Trunc,82,2,39
81,f0397_06.png.min,No Filter,73,5,15
82,f0480_04[BINA].png.min,Binary,78,3,30
83,f0294_06[BINA].png.min,Binary,99,3,39
84,f0407_09[TRUC].png.min,Trunc,98,1,49
85,s0265_04[BINV].png.min,Binary Invert,68,2,38
86,f0450_10.png.min,No Filter,168,2,49
87,f0269_01[BINV].png.min,Binary Invert,159,2,51
88,s0459_05[TRUC].png.min,Trunc,143,3,9
89,f0331_05[BINV].png.min,Binary Invert,91,4,20
90,f0430_10[TOZI].png.min,Thresh to Zero Invert,191,3,27
91,s0322_06[TOZI].png.min,Thresh to Zero Invert,225,4,27
92,s0396_09[TOZI].png.min,Thresh to Zero Invert,152,1,39
93,f0346_09[BINA].png.min,Binary,27,3,51
94,f0473_01.png.min,No Filter,219,5,6
95,f0427_06[TRUC].png.min,Trunc,139,5,15
96,f0455_04[BINA].png.min,Binary,32,1,55
97,f0386_02[TOZI].png.min,Thresh to Zero Invert,279,3,36
98,s0323_09[TOZI].png.min,Thresh to Zero Invert,308,5,14
99,f0437_04[TZER].png.min,Thresh to Zero,132,1,45
100,f0260_02[BINA].png.min,Binary,84,2,47
101,s0283_02[TRUC].png.min,Trunc,120,4,10
102,s0310_05[BINV].png.min,Binary Invert,13,2,53
103,s0287_07[TRUC].png.min,Trunc,163,3,24
104,f0255_05[BINA].png.min,Binary,68,4,29
105,s0311_03[TOZI].png.min,Thresh to Zero Invert,216,2,34
