,nome,filtro,minucias,nfiq,nfiq2,qmap
0,f1254_06[TRUC].png.min,Trunc,96,1,57,1.322265625
1,f1480_02[TZER].png.min,Thresh to Zero,85,3,25,1.82275390625
2,f1374_04.png.min,No Filter,118,2,48,2.855712890625
3,f1371_08[TZER].png.min,Thresh to Zero,55,2,34,0.5576171875
4,s1329_10[BINA].png.min,Binary,40,4,16,1.455078125
5,f1338_03[BINV].png.min,Binary Invert,104,1,51,2.40625
6,f1398_03[TRUC].png.min,Trunc,84,3,49,2.399169921875
7,s1402_04[BINV].png.min,Binary Invert,94,1,52,2.98291015625
8,f1446_03[TZER].png.min,Thresh to Zero,103,2,30,1.710205078125
9,s1345_06[BINA].png.min,Binary,151,3,23,2.236083984375
10,f1391_10[TZER].png.min,Thresh to Zero,85,3,33,0.623291015625
11,f1427_10[TOZI].png.min,Thresh to Zero Invert,250,4,19,1.785400390625
12,f1467_09[TRUC].png.min,Trunc,141,3,27,2.3623046875
13,s1451_06[TZER].png.min,Thresh to Zero,91,2,46,2.17626953125
14,s1338_03[TZER].png.min,Thresh to Zero,20,1,47,1.747802734375
15,f1299_07[BINV].png.min,Binary Invert,23,2,52,1.69384765625
16,s1409_06[TRUC].png.min,Trunc,122,1,43,1.548583984375
17,f1281_08[TRUC].png.min,Trunc,122,3,33,0.071044921875
18,f1354_07[BINA].png.min,Binary,73,2,17,0.764892578125
19,f1324_08[BINV].png.min,Binary Invert,55,1,8,2.26611328125
20,f1400_01[BINV].png.min,Binary Invert,117,2,20,2.459228515625
21,f1329_10[TZER].png.min,Thresh to Zero,21,4,25,1.054931640625
22,s1389_08[BINV].png.min,Binary Invert,123,4,9,1.761962890625
23,s1319_01[BINA].png.min,Binary,114,2,39,2.37646484375
24,s1458_04[TOZI].png.min,Thresh to Zero Invert,237,3,34,1.962890625
25,s1394_07[TRUC].png.min,Trunc,138,1,44,2.00390625
26,f1268_02[TRUC].png.min,Trunc,132,2,22,2.7109375
27,s1312_10[BINA].png.min,Binary,22,3,23,0.224853515625
28,s1257_04.png.min,No Filter,118,1,52,1.711669921875
29,s1280_04.png.min,No Filter,112,3,19,0.80908203125
30,f1418_10[TZER].png.min,Thresh to Zero,65,1,51,0.095458984375
31,f1446_03[TRUC].png.min,Trunc,95,3,6,0.703369140625
